City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
452,Tezu,IN,75.7,light rain,27.92,96.17,Circuit House
453,Taybad,IR,70.72,clear sky,34.74,60.78,لی پوش jean center
455,Bathsheba,BB,84.2,shower rain,13.22,-59.52,Atlantis Hotel
456,Sibu,MY,77.0,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
457,Conde,BR,75.2,broken clouds,-7.26,-34.91,Pousada Beija Flor
459,Chippewa Falls,US,86.0,few clouds,44.94,-91.39,AmericInn by Wyndham Chippewa Falls
460,Itarema,BR,77.99,clear sky,-2.92,-39.92,Windvillage
463,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
466,Bubaque,GW,79.9,light rain,11.28,-15.83,Casa Dora
469,Vao,NC,71.19,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
471,Salinopolis,BR,78.82,light rain,-0.61,-47.36,Hotel Salinópolis
473,Udayagiri,IN,70.45,overcast clouds,20.13,84.38,Balaram panda
476,Westport,US,80.01,broken clouds,41.14,-73.36,The Westport Inn
477,Pontianak,ID,76.01,light rain,-0.03,109.33,Aston Pontianak Hotel & Convention Center
479,Guigue,VE,75.16,moderate rain,10.09,-67.78,Flia Arist
480,Tual,ID,79.34,light rain,-5.67,132.75,Grand Vilia Hotel
482,Trairi,BR,77.92,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
485,Santa Rosa,PH,79.0,scattered clouds,14.31,121.11,Amethyst Econotel
487,Qui Nhon,VN,77.16,broken clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
488,Buala,SB,84.34,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
489,Toba,JP,84.0,clear sky,34.48,136.85,ホテル アルティア鳥羽
490,Kruszwica,PL,73.0,clear sky,52.68,18.33,Usługi Hotelarskie i Gastronomiczne
493,Sisophon,KH,76.42,overcast clouds,13.59,102.97,Pyramid Hotel
494,Carutapera,BR,77.97,few clouds,-1.2,-46.02,Lidera
497,Zhangye,CN,71.22,overcast clouds,38.93,100.45,Zhangye Lvzhou Holiday Inn
500,Tautira,PF,82.4,scattered clouds,-17.73,-149.15,Pension Oaoa
502,Turayf,SA,73.4,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
504,Cairns,AU,70.0,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
507,Rimbey,CA,73.4,scattered clouds,52.63,-114.24,Rimbey Ridge Hotel & Suites
509,Hornepayne,CA,73.22,broken clouds,49.21,-84.77,Jackfish River Inn
511,Naze,JP,84.2,few clouds,28.37,129.48,奄美ポートタワーホテル
