City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,De-Kastri,51.47,140.78,61.97,62,14,10.18,RU,2020-08-20 22:02:40
132,Le Port,-20.94,55.29,68.0,64,90,9.17,RE,2020-08-20 22:02:40
133,Sao Gotardo,-19.31,-46.05,80.01,50,76,3.06,BR,2020-08-20 22:02:41
134,Gwanda,-20.93,29.0,53.31,90,43,7.92,ZW,2020-08-20 22:02:41
135,Richards Bay,-28.78,32.04,59.27,85,0,0.76,ZA,2020-08-20 22:02:41
136,Harrison,30.41,-89.04,84.2,62,1,13.87,US,2020-08-20 22:02:01
137,Poum,-20.23,164.02,71.44,65,0,1.19,NC,2020-08-20 22:02:42
138,Saint-Louis,16.33,-15.0,96.8,50,40,4.7,SN,2020-08-20 22:02:42
139,Yelizovo,53.19,158.38,51.8,100,75,2.24,RU,2020-08-20 22:02:29
140,Baiyin,36.56,104.21,68.0,72,90,6.71,CN,2020-08-20 22:02:42
141,Ornskoldsvik,63.29,18.72,62.6,88,0,5.82,SE,2020-08-20 22:02:42
142,Tuktoyaktuk,69.45,-133.04,53.6,76,75,11.41,CA,2020-08-20 22:02:31
143,Lasa,46.62,10.7,62.6,88,5,2.24,IT,2020-08-20 22:02:43
144,Sao Joao Da Barra,-21.64,-41.05,73.4,78,90,11.41,BR,2020-08-20 22:01:27
145,Tateyama,34.98,139.87,84.0,91,0,3.0,JP,2020-08-20 22:02:43
146,Mayo,38.89,-76.51,84.0,57,1,5.82,US,2020-08-20 22:02:43
147,Husavik,66.04,-17.34,53.6,62,40,16.11,IS,2020-08-20 22:02:44
148,Fort Dodge,42.5,-94.17,84.99,48,20,13.87,US,2020-08-20 22:01:57
149,Coquimbo,-29.95,-71.34,55.4,76,0,9.17,CL,2020-08-20 22:01:25
150,Saint-Philippe,-21.36,55.77,68.0,56,23,6.93,RE,2020-08-20 22:02:44
151,Norman Wells,65.28,-126.83,64.4,48,40,18.34,CA,2020-08-20 22:02:44
152,Aleksandrov Gay,50.15,48.57,60.3,43,0,7.2,RU,2020-08-20 22:02:45
153,Catamarca,-28.47,-65.79,57.99,36,7,1.99,AR,2020-08-20 22:02:45
154,Port-Cartier,50.03,-66.87,69.8,35,75,16.11,CA,2020-08-20 22:02:45
155,Grand Gaube,-20.01,57.66,71.01,56,0,4.0,MU,2020-08-20 22:02:45
156,Bully-Les-Mines,50.44,2.73,75.2,73,100,3.36,FR,2020-08-20 22:02:46
157,Eminabad,32.04,74.26,78.8,88,40,5.48,PK,2020-08-20 22:00:34
158,Grand-Santi,4.25,-54.38,83.07,65,55,1.77,GF,2020-08-20 22:02:46
159,Elbistan,38.21,37.2,61.74,82,0,1.74,TR,2020-08-20 22:02:47
160,Kang,-23.68,22.79,48.42,36,0,6.73,BW,2020-08-20 22:02:47
161,Vanavara,60.34,102.28,50.76,93,0,4.41,RU,2020-08-20 22:02:47
162,Bambous Virieux,-20.34,57.76,71.01,73,75,4.7,MU,2020-08-20 22:02:47
163,Asau,46.43,26.4,59.0,98,2,4.85,RO,2020-08-20 22:02:48
164,Severo-Kurilsk,50.68,156.12,53.15,76,63,19.28,RU,2020-08-20 22:02:48
165,Kitgum,3.28,32.89,66.33,95,57,1.41,UG,2020-08-20 22:02:48
166,Vostok,46.49,135.88,52.92,79,62,2.89,RU,2020-08-20 22:02:48
167,Seydi,39.48,62.91,73.71,28,0,10.27,TM,2020-08-20 22:02:48
168,Dingzhou,38.51,115.0,66.2,93,0,2.24,CN,2020-08-20 22:02:49
169,Sao Filipe,14.9,-24.5,76.95,79,26,9.26,CV,2020-08-20 22:02:49
170,Mizan Teferi,6.98,35.58,61.7,91,50,2.66,ET,2020-08-20 22:02:49
171,Talara,-4.58,-81.27,63.52,80,100,19.15,PE,2020-08-20 22:02:49
172,Cidreira,-30.18,-50.21,47.71,61,10,12.82,BR,2020-08-20 22:02:50
173,Vryburg,-26.96,24.73,39.99,56,0,5.48,ZA,2020-08-20 22:02:50
174,Batagay-Alyta,67.8,130.41,37.71,76,69,2.62,RU,2020-08-20 22:02:50
175,Havre-Saint-Pierre,50.23,-63.6,63.12,59,66,13.13,CA,2020-08-20 22:02:50
176,Porbandar,21.64,69.61,80.73,89,100,7.23,IN,2020-08-20 22:02:50
177,Charters Towers,-20.1,146.27,61.36,31,28,9.89,AU,2020-08-20 22:02:51
